Arithmetic,asap7,nangate45,sky130hd,sky130hs,gf180
posit32_Non_Restoring_serial_adder_14,5.46e-16,2.61e-14,8.80e-15,1.75e-14,4.74e-10
posit32_Non_Restoring_serial_adder_15,5.46e-16,N/A,8.77e-15,1.75e-14,4.22e-10
posit32_Non_Restoring_serial_adder_16,5.47e-16,N/A,8.77e-15,1.74e-14,4.22e-10
posit32_Non_Restoring_serial_adder_17,5.47e-16,N/A,8.56e-15,1.78e-14,4.11e-10
posit32_Non_Restoring_serial_adder_18,5.47e-16,N/A,8.77e-15,1.75e-14,4.22e-10
posit32_Non_Restoring_serial_adder_19,5.48e-16,N/A,8.75e-15,1.72e-14,4.23e-10
posit32_Non_Restoring_serial_adder_20,5.47e-16,N/A,8.76e-15,1.74e-14,4.23e-10
posit32_Non_Restoring_serial_adder_21,5.47e-16,N/A,8.76e-15,1.74e-14,4.23e-10
posit32_Non_Restoring_serial_adder_22,5.47e-16,N/A,8.76e-15,1.74e-14,4.23e-10
posit32_Non_Restoring_serial_adder_23,5.47e-16,N/A,8.76e-15,1.74e-14,4.23e-10
posit32_Non_Restoring_serial_adder_24,5.48e-16,N/A,8.76e-15,1.74e-14,4.23e-10
posit32_Non_Restoring_serial_adder_25,5.47e-16,N/A,8.54e-15,1.77e-14,4.11e-10
posit32_Non_Restoring_serial_adder_26,5.47e-16,N/A,8.76e-15,1.74e-14,4.23e-10
posit32_Non_Restoring_serial_adder_27,5.48e-16,N/A,8.76e-15,1.74e-14,4.23e-10
posit16_Non_Restoring_baseline,6.53e-16,2.89e-14,1.17e-14,2.26e-14,4.50e-10
posit16_Non_Restoring_serial_adder_1,2.94e-16,1.46e-14,4.73e-15,6.04e-15,1.41e-10
posit16_Non_Restoring_serial_adder_2,2.95e-16,N/A,3.10e-15,1.00e-14,2.28e-10
posit16_Non_Restoring_serial_adder_3,3.44e-16,N/A,4.70e-15,9.48e-15,2.25e-10
posit16_Non_Restoring_serial_adder_4,2.91e-16,1.44e-14,5.11e-15,9.70e-15,1.48e-10
posit16_Non_Restoring_serial_adder_5,2.92e-16,N/A,4.89e-15,9.45e-15,2.21e-10
posit16_Non_Restoring_serial_adder_6,2.97e-16,N/A,4.90e-15,9.45e-15,2.20e-10
posit16_Non_Restoring_serial_adder_7,2.86e-16,N/A,4.90e-15,9.62e-15,2.18e-10
posit16_Non_Restoring_serial_adder_8,2.86e-16,N/A,4.80e-15,9.66e-15,2.18e-10
posit16_Non_Restoring_serial_adder_9,2.87e-16,N/A,4.70e-15,9.35e-15,2.22e-10
posit16_Non_Restoring_serial_adder_10,2.87e-16,N/A,4.89e-15,9.67e-15,2.18e-10
posit16_Non_Restoring_serial_adder_11,2.87e-16,N/A,4.90e-15,9.64e-15,2.19e-10
posit8_Non_Restoring_baseline,2.80e-16,N/A,5.29e-15,1.05e-14,2.06e-10
posit8_Non_Restoring_serial_adder_1,1.72e-16,N/A,2.70e-15,5.21e-15,1.30e-10
posit8_Non_Restoring_serial_adder_2,1.71e-16,N/A,2.77e-15,5.29e-15,1.24e-10
posit8_Non_Restoring_serial_adder_3,1.67e-16,N/A,2.79e-15,5.50e-15,1.23e-10
e4m3_Non_Restoring_baseline,2.80e-16,N/A,5.29e-15,1.05e-14,2.06e-10
e4m3_Non_Restoring_serial_adder_1,1.72e-16,N/A,2.70e-15,5.21e-15,1.30e-10
e4m3_Non_Restoring_serial_adder_2,1.71e-16,N/A,2.77e-15,5.29e-15,1.24e-10
e4m3_Non_Restoring_serial_adder_3,1.67e-16,N/A,2.79e-15,5.50e-15,1.23e-10
e5m2_Non_Restoring_baseline,2.46e-16,1.16e-14,4.45e-15,8.60e-15,1.69e-10
e5m2_Non_Restoring_serial_adder_1,1.49e-16,N/A,2.53e-15,4.70e-15,1.20e-10
e5m2_Non_Restoring_serial_adder_2,1.48e-16,N/A,2.43e-15,4.66e-15,1.16e-10
